"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","24","Delete file","LMS service","2026-08-26","passed","2026-08-26","Delete entity","Files","",""
"","18","Get exercises","LMS service","2026-08-26","passed","2026-08-26","Get entities","Exercises","",""
"","51","Create file with empty directory","LMS service","2026-08-26","passed","2026-08-26","Validate entity","Files","",""
"","279","Create file","LMS service","2026-08-26","passed","2026-08-26","Create entity","Files","",""
"","15","Get user me","LMS service","2026-08-26","passed","2026-08-26","Get entity","Users","",""
"","501","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","532","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","17","Create course","LMS service","2026-08-26","broken","2026-08-26","Create entity","Courses","",""
"","22","Create exercise","LMS service","2026-08-26","passed","2026-08-26","Create entity","Exercises","",""
"","27","Delete exercise","LMS service","2026-08-26","passed","2026-08-26","Delete entity","Exercises","",""
"","25","Update exercise","LMS service","2026-08-26","passed","2026-08-26","Update entity","Exercises","",""
"","34","Update course","LMS service","2026-08-26","passed","2026-08-26","Update entity","Courses","",""
"","15","Get file","LMS service","2026-08-26","passed","2026-08-26","Get entity","Files","",""
"","270","Create file with empty filename","LMS service","2026-08-26","passed","2026-08-26","Validate entity","Files","",""
"","21","Get exercise","LMS service","2026-08-26","passed","2026-08-26","Get entity","Exercises","",""
"","288","Login with correct email and password","LMS service","2026-08-26","passed","2026-08-26","Login","Authentication","",""
"","18","Get file with incorrect file id","LMS service","2026-08-26","passed","2026-08-26","Validate entity","Files","",""
"","24","Get courses","LMS service","2026-08-26","passed","2026-08-26","Get entities","Courses","",""
